address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"Opposite ICICi Bank, Hanuman Nagar, Banashankari, Bangalore",Spicy Tandoor,No,No,NEW,0,+91 8050884222,Banashankari,Quick Bites,,North Indian,150,Delivery
"100 Feet Road, 3rd Stage, Banashankari, Bangalore",LSD Cafe,No,No,2.9/5,84,080 65600000,Banashankari,Delivery,,"Chinese, Continental, Italian, North Indian",700,
 ('Rated 3.5', 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon'), ('Rated 5.0'," """"RATED\n  Life saver at night!\nI woke up at 2 PM last time and decided to try out this interestingly named place. Ordered a kit kat shake"," chicken chengezi and assorted breads. I was absolutely surprised at the quality of food at this point of day. I'd definitely recommend it to all my friends."""")", ('Rated 5.0', 'RATED\n  Top Class Taste, even Better Service in the middle of night #LSD Great Work. Best option for the night owls\nPS. Love the Pasta and garlic bread combo.'), ('Rated 4.0', 'RATED\n  Exhaustive mouth watery menu , well-cooked and packaged  \nFriendly delivery guys ,Two suggestions, 'RATED\n  Great food for nocturnes.with very courteous management..delivery is also fairly quick..my only suggestion is to please introduce online order\nThat will be a very wise step considering the demonetisation.\nAll in all great job ?')
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6/5,299,"+91 9071734101
+91 9071496800",Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300,Delivery
"39, S B M Colony, Near-Sita Circle, 1st Stage, Banashankari, Bengaluru",Om Sri Vinayaka Chats,No,No,NEW,0,+91 8553206035,Banashankari,"Takeaway, Delivery",,"Street Food, Fast Food",500,Delivery
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,558,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150,Delivery
"16th Main Road, Near PESIT College, Banashankari, Bangalore",Devanna Dum Biriyani Centre,Yes,No,3.6/5,28,"+91 9980204944
080 26723722",Banashankari,Quick Bites,,"Biryani, South Indian",300,Delivery
"1430, 22nd Cross, Next To Coffee Day, Near BDA Complex, Banashankari, Bangalore",Kolbeh,No,No,3.7/5,22,"+91 8050701820
+91 8904733516",Banashankari,Quick Bites,,Fast Food,500,Delivery
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8/5,39,"+91 9164571705
080 26760336",Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350,Delivery
"36, 2nd Main, RPC Layout, Vijay Nagar, Bangalore",Kadalu Sea Food Restaurant,Yes,No,3.8/5,153,"+91 7337681786
+91 7337682786",Vijay Nagar,Fine Dining,,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,Delivery
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2/5,146,080 48664811,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400,Delivery
"1142, 22nd Cross, 30th Main, Banashankari, Bangalore",Parimala Sweets,No,No,3.5/5,14,"+91 9738013203
080 49524132",Banashankari,Sweet Shop,,"Mithai, Street Food",200,Delivery
"512, 2nd Cross, 3rd Stage, Banashankari, Bangalore",Vaishali Deluxe,No,No,3.8/5,42,"+91 9886092321
+91 8861776666",Banashankari,Casual Dining,,"North Indian, Chinese",700,Delivery
"161/C, 6th Main, 80 Feet Road, Bhuvaneshwari Nagercoil, Banashankari, Bangalore",Chill Out,No,No,,0,+91 9341215167,Banashankari,Quick Bites,,"South Indian, Chinese",100,Delivery
"45/12, 4th Cross, 10th Main, Gururaja Layout, Banashankari, Bangalore",The Big O Bakes,No,No,4.0/5,66,+91 9845216137,Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4/5,4401,080 49653564,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600,Delivery
"38, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Krishna Sagar,No,No,3.5/5,31,"+91 8892752997
+91 7204780429",Banashankari,Quick Bites,,North Indian,200,Delivery
"1/34, 3rd Cross Road, Kathriguppe IV Phase, Banashankari 3rd Stage, Banashankari, Bangalore",Dessert Rose,No,No,3.5/5,7,+91 7829604777,Banashankari,Dessert Parlor,,Desserts,500,Delivery
"480/A, 50 feet road, Nagendra block, Near PES College, Nagendra block, Banashankari, Bangalore",Chickpet Donne Biryani House,No,No,3.7/5,21,"+91 9482020323
080 68888834",Banashankari,Quick Bites,,Biryani,250,Delivery
"BDA Shopping Complex, 24th Cross Road, Siddanna Layout, 2nd Stage, Banashankari, Bangalore",Me And My Cake,No,No,,0,+91 9036070410,Banashankari,Delivery,,"Bakery, Desserts",500,Delivery
"Shop 18 , 3rd cross road,Markandeya Layout, Banashankari, Bangalore",Sunsadm,No,No,,0,+91 7829290358,Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery
"625, 5th Cross Road, Hanumanthnagar, Banashankari, Bangalore",Annapooraneshwari Mess,No,No,,0,+91 9742009518,Banashankari,Mess,,South Indian,200,Delivery
"941, 21st Main Road, BSK 2nd Stage , Near BDA Complex, Banashankari, Bangalore",Thanco's Natural Ice Creams,No,No,3.2/5,9,"080 41477334
+91 9900260006",Banashankari,Dessert Parlor,,Ice Cream,300,Delivery
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,No,No,2.6/5,283,"080 26890011
080 26890033",Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600,Delivery
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,No,No,3.3/5,62,"+91 9845063930
+91 7411148111",Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800,Delivery
"50 Feet Road, Hanumanthanagar, Banashankari, Bangalore",Kaggis,No,No,3.8/5,64,"+91 9900191258
080 26509710",Banashankari,Quick Bites,,"Fast Food, Bakery",250,Delivery
"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Ayda Persian Kitchen,No,No,3.7/5,39,080 42124293,Banashankari,Casual Dining,,"North Indian, Iranian",950,Delivery
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,No,No,3.7/5,65,+91 7619353103,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300,Delivery
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8/5,71,080 49652725,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400,Delivery
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,No,No,3.5/5,52,"080 42112211
+91 9880412211",Banashankari,Quick Bites,Rooftop Ambience,South Indian,300,Delivery
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,No,No,3.7/5,130,+91 9964410276,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200,Delivery
"1189, 10th Cross, Shankarnag Circle, 1st Stage, 2nd Block, Banashankari, Bangalore",Kotian Karavali Restaurant,No,No,3.5/5,10,+91 7829336984,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery
"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,No,No,3.8 /5,45,"+91 9845552266
+91 9845552288",Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400,Delivery
"101, Water Tank Road, 2nd Block, 3rd Stage, Banashankari, Bangalore",CAFE NOVA,No,No,3.2/5,11,+91 8971090261,Banashankari,Cafe,,"Cafe, Bakery",600,Delivery
"27, 80 Feet Road, Srinivasnagar, Banashankari, Bangalore",Cakes & Slices,No,No,3.5/5,13,"+91 9845174427
080 25908416",Banashankari,Bakery,,"Bakery, Desserts",300,Delivery
"Number 42, 4th Block, 6th Stage Banashankari, Vrishabhvachi Nagar, Opposite RV College of Architecture, Bangalore",Spice 9,No,No,3.4/5,8,+91 8298113218,Banashankari,Quick Bites,,"Biryani, North Indian, Chinese, Fast Food",300,Delivery
"1722, 13th Main Road 31st Cross BSK, 2nd Stage, Banashankari, Bangalore",Coffee Shopee,No,No,,0,+91 9591504624,Banashankari,"Takeaway, Delivery",,Beverages,250,Delivery
"2, 3rd Cross, Near Pesit College, Banashankari, Bangalore",Naveen Kabab & Biriyani Mane,No,No,3.2/5,9,"+91 9611109111
+91 9880421603",Banashankari,Quick Bites,,Biryani,300,Delivery
"8, Katriguppe Main Road, Vivekananda Nagar, 3rd Stage, Banashankari, Bangalore",Katriguppe Donne Biryani,No,No,3.2/5,4,+91 9964847091,Banashankari,Quick Bites,,North Indian,300,Delivery
"594, 24 The Cross BSK, Opposte Oriental Bank, Banashankari, Bangalore",Hari Super Sandwich,No,No,NEW,0,+91 9886722163,Banashankari,"Takeaway, Delivery",,"Sandwich, Pizza, Beverages",200,Delivery
"7/1, Behind BMS College Hostel, 80 Feet Road, 1st Stage, Srinivas Nagar Bank Colony, Banashankari, Bangalore",Atithi Point Ande Ka Funda,No,No,3.1/5,29,+91 8123145797,Banashankari,Quick Bites,,North Indian,150,Delivery
"3967, VHBC Society, Girinagar Phase 4, Hosekerehalli Mani Road, Banashankari 3rd Stage, Banashankari, Bangalore",Just Bake,No,No,3.4/5,8,"+91 9535674477
080 26420777",Banashankari,Bakery,,"Bakery, Desserts",400,Delivery
"Shop 25, 1st Cross, 50 Feet Main Road, Near BDA Park, Girinagar, Banashankari, Bangalore",Dharwad Line Bazaar Mishra Pedha,No,No,,0,+91 9901539269,Banashankari,Dessert Parlor,,Mithai,150,Delivery
"Near Seetha Circle, Vivekananda Park Road, Girinagar, Banashankari, Bangalore",Cake Bite,No,No,,0,+91 8277102303,Banashankari,Bakery,,Bakery,300,Delivery
"41/10, Near PESIT Collage, 8th Main Road, 1st Cross, Dwarakanagar, Banashankari, Bangalore",Aarush's Food Plaza,No,No,,0,+91 9008179916,Banashankari,Quick Bites,,"North Indian, Street Food",200,Delivery
"3148, 2nd Cross, 4th Phase Girinagar, Near Hosagarnahalli Cross, Banashankari, Bangalore",Wood Stove,No,No,,0,+91 9845810938,Banashankari,"Takeaway, Delivery",,South Indian,150,Delivery
"662, 19th Main, Kidney Foundation, Padmanabhan Nagar, Banashankari, Bangalore",Kulfi & More,No,No,,0,+91 9902901010,Banashankari,Dessert Parlor,,"Ice Cream, Desserts, Juices",150,Delivery
"1189, 9th Main, Ashok Nagar, Bank 1st Stage, Banashankari, Bangalore",Kannadigas Karavali,No,No,,0,"+91 8971651469
+91 9535195566",Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",250,Delivery
"27, 27th Cross, 2nd Stage, Banashankari, Bangalore",K27 - The Pub,No,No,3.1/5,30,+91 9980097472,Banashankari,Bar,,"Chinese, North Indian","1,000",Delivery
"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,Yes,No,4.1/5,201,+91 9740180090,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300,Delivery
"89, Near PES College, 22nd Main Road, Girinagar, 1st Stage, Banashankari, Bangalore",New Mangalore Lunch Home,No,No,3.3/5,7,,Banashankari,Quick Bites,,"Mangalorean, South Indian, North Indian",200,Delivery
"10th Main, Hanumanthanagar, 50 Feet Road, Phase 1, Banashankari, Bangalore",Coffee Bytes,No,No,3.1/5,6,+91 9945756375,Banashankari,Quick Bites,,"Fast Food, South Indian",100,Delivery
"68, Opposite ICICI Bank, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Parjanya Chat Zone,No,No,3.3/5,17,+91 9513333364,Banashankari,Quick Bites,,"Street Food, Fast Food",200,Delivery
"590, 24th Cross, 2nd Stage, Banashankari, Bangalore",Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,25,+91 9742787111,Banashankari,Dessert Parlor,,"Ice Cream, Desserts",200,Delivery
"346, 7th Cross, 8th Main Road, Padmanabham Nagar, Banashankari, Bangalore",Soms Kitchen & Bakes,No,No,,0,+91 7406567897,Banashankari,Delivery,,"South Indian, North Indian, Continental",400,Delivery
"17/1, Ramalh Garden, Kadieranahall Circle, Near Raghavendra Flour Mill, Dr Vishnuvardhan Main Road, BSK 2nd Stage, Banashankari, Bangalore",Banashankari Nati Style,No,No,,0,"+91 9035141678
+91 9742174293",Banashankari,Quick Bites,,"Biryani, Chinese, South Indian, North Indian",350,Delivery
"Padmanabhanagar, Banashankari, Bangalore",Ruchi Maayaka,No,No,3.3/5,8,+91 9206517566,Banashankari,Delivery,,South Indian,100,Delivery
"29, 5th Cross, Near PES College, 100 Feet Road, Dwaraka Nager, Banashankari, Bangalore",Mohitesh Hut Roll,No,No,,0,+91 8147341276,Banashankari,Quick Bites,,"Rolls, North Indian",150,Delivery
"692, 12th Cross, 7th Block Kankapura Main Road, Banashankari, Bangalore",Sri Basaveshwar Jolada Rotti Oota,No,No,,0,"+91 9663341824
+91 7204025617",Banashankari,Quick Bites,,South Indian,150,Delivery
"28, 4th Cross Road, Dwaraka Nagar, Banashankari, Bengaluru",Roll Magic Fast Food,No,No,NEW,0,+91 9731409204,Banashankari,"Takeaway, Delivery",,"Biryani, Rolls, Chinese",200,Delivery
"3/16, 22 Main Road, Magenta Block, PES College, Road Bank Colony, Banashankari, Bangalore",Foodlieious Multi Cuisine,No,No,NEW,0,"+91 9168753522
+91 8217877100",Banashankari,Quick Bites,,North Indian,100,Delivery
"17/1, Ramaiah Garden, Kadirenahalli Circle, Dr Vishnuvardhan Main Road, 2nd Stage, Banashankari, Bangalore",Thanishka Nati And Karavali Style,No,No,NEW,0,"+91 9108823881
+91 8722229336",Banashankari,Quick Bites,,"Biryani, Fast Food",400,Delivery
"2/1, 7th Main, Dwarakangar, Banashankari, Bangalore",Swathi Cool Point,No,No,,0,+91 9480356851,Banashankari,Beverage Shop,,"Beverages, Juices",200,Delivery
"487, Cauvery Complex, S.B.M Colony, 80 Feet Road, Banashankri, Bangalore",Kaumudis Juoice,No,No,,0,+91 7829662162,Banashankari,"Beverage Shop, Quick Bites",,"Beverages, Fast Food, Juices",150,Delivery
"10, 4th cross, Muneshwara Block, Devinagar, Banashankari, Bangalore",Amma - Manae,No,No,,0,"+91 8095145774
+91 9986843104",Banashankari,"Takeaway, Delivery",,South Indian,400,Delivery
"559/1, Opposite Canara Bank ATM, Pipelane Road, Sri Nagar, Banashankari, Bengaluru",Sri Sai Tiffannies,No,No,,0,+91 9483901438,Banashankari,Quick Bites,,"South Indian, Chinese",150,Delivery
"263, 3rd Main Road, Chikka Laksandra, Banashankari, Bangalore",Hotel Andhra Speices,No,No,,0,+91 9591079669,Banashankari,Quick Bites,,Andhra,250,Delivery
"57, 3rd cross, 80 feet Road, Banashankari, Bangalore",Sri Murari Family Restaurant,No,No,,0,"+91 9886670026
+91 9035992000",Banashankari,Quick Bites,,Biryani,250,Delivery
"94, Katriguppe Main Road, Opposite Pai Showroom, Banashankari, Bangalore",Aramane Donne Biriyani,No,No,,0,"+91 6360738836
+91 7892206383",Banashankari,Quick Bites,,"South Indian, Biryani",150,Delivery
"66, Benaka, 2nd Cross, 2nd Main, Kathriguppe East, 3rd Stage, Banashankari, Bangalore",Darkolates,No,No,,0,+91 9901215056,Banashankari,Confectionery,,Desserts,200,Delivery
"617, 100 Feet Ring Road Next to Devegowda Petrol Pump, Banashankari, Bangalore",Swaada Healthy Kitchen,No,No,,0,+91 9964218383,Banashankari,"Quick Bites, Beverage Shop",,"Healthy Food, Juices, Sandwich",350,Delivery
"209, 5th Cross, AG Thaneerappa Road, 1st Phase Girinagar, Ganapathi Nagar, Banashankari Stage I, Banashankari, Bengaluru",Gawdaru Mane Beriyani,No,No,,0,+91 9449798423,Banashankari,Quick Bites,,"South Indian, Biryani",300,Delivery
"Bhuvaneshwari Nagar BSK 3RD Stage, Banashankari, Bangalore",Melting Melodies,No,No,NEW,0,"+91 8970474798
+91 8747977555",Banashankari,"Takeaway, Delivery",,"Pizza, Fast Food",100,Delivery
"77, 50 Ft Road, Hanumathnagara, Banashankari, Bangalore",New Indraprasta,No,No,NEW,0,+91 8867333003,Banashankari,Quick Bites,,"South Indian, Beverages",150,Delivery
"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,Yes,No,4.0/5,771,+91 9620009302,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450,Delivery
"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,No,No,3.0/5,98,+91 8861271465,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800,Delivery
"No.37, Shree Complex, Next to Dominoes Pizza, Bull temple Road, Basavanagudi, Bangalore",Vijayalakshmi,Yes,No,3.9/5,47,080 49653547,Basavanagudi,Quick Bites,,South Indian,200,Delivery
"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,Yes,Yes,4.1/5,175,+91 9916866033,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500,Delivery
"No.1585, 22nd Main,Banashankari 1st Stage",Udupi Upahar,Yes,No,3.8/5,58,080 45128750,Banashankari,Quick Bites,,"South Indian, Chinese, North Indian, Juices",300,Delivery
"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",House Of Kebabs,Yes,No,3.8/5,540,080 49653042,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650,Delivery
"608, 21st Cross, Kumaraswamy Layout, Bangalore",Roll N Rock,Yes,No,3.8/5,124,+91 9590941992,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400,Delivery
"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",BOX8- Desi Meals,Yes,No,4.1/5,340,022 33552698,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500,Delivery
"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",KFC,Yes,No,3.8/5,505,080 33994444,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450,Delivery
"12, Banashankari, Bangalore",Bitez,No,No,NEW,0,+91 9916781796,Banashankari,Quick Bites,,Fast Food,100,Delivery
"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",Roll Over,Yes,No,4.1/5,438,"+91 8884942976
+91 8884942900",Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,Delivery
"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",Imperial Restaurant,Yes,No,3.7/5,264,"+91 7338431313
080 26741313",Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750,Delivery
"Dayanand Sagar College Road, Kumaraswamy Layout, Bangalore",Lassi Shop,Yes,No,3.9/5,169,+91 7975669805,Kumaraswamy Layout,Beverage Shop,,"Beverages, Juices, Ice Cream",150,Delivery
